Team,Player,Position,DraftRound,YearsKept
Fire Bad,Seiya Suzuki,OF,4,0
Fire Bad,Ronald Acuña Jr.,OF,1,0
Fire Bad,Corbin Carroll,OF,12,3
Fire Bad,Shohei Ohtani (Batter),Util,0,0
Fire Bad,Brandon Nimmo,OF,6,0
Fire Bad,Drake Baldwin,C,20,0
Fire Bad,Anthony Volpe,SS,11,3
Fire Bad,Sebastian Walcott,"3B,SS",0,0
Fire Bad,JJ Wetherholt,SS,0,0
Fire Bad,Logan Gilbert,SP,2,0
Fire Bad,Jack Dreyer,"SP,RP",0,0
Fire Bad,Ryan Walker,RP,25,0
Fire Bad,Tony Santillan,RP,0,0
Fire Bad,Garrett Whitlock,"SP,RP",0,0
Fire Bad,Matt Strahm,RP,24,0
Fire Bad,Shawn Armstrong,"SP,RP",0,0
Fire Bad,Adrian Morejon,RP,0,0
Fire Bad,Luis Morales,SP,0,0
Fire Bad,Tyler Mahle,SP,0,0
Fire Bad,Yoshinobu Yamamoto,SP,3,0
Fire Bad,Jose Quintana,SP,0,0
Fire Bad,Trevor Megill,RP,5,0
Fire Bad,Nathan Eovaldi,SP,16,1
Hebrew Nationals,Tyler Stephenson,C,23,0
Hebrew Nationals,Vladimir Guerrero Jr.,"1B,3B",1,0
Hebrew Nationals,Willi Castro,"2B,3B,SS,OF",20,0
Hebrew Nationals,Jake Burger,"1B,3B",15,2
Hebrew Nationals,Ezequiel Tovar,SS,9,0
Hebrew Nationals,Teoscar Hernández,OF,2,0
Hebrew Nationals,Nick Castellanos,OF,7,0
Hebrew Nationals,Jung Hoo Lee,OF,12,0
Hebrew Nationals,Adley Rutschman,C,3,0
Hebrew Nationals,Josh Bell,1B,0,0
Hebrew Nationals,J.P. Crawford,SS,0,0
Hebrew Nationals,Cedric Mullins,OF,18,0
Hebrew Nationals,Luis Robert Jr.,OF,4,0
Hebrew Nationals,Eric Lauer,"SP,RP",0,0
Hebrew Nationals,Michael King,SP,14,2
Hebrew Nationals,Tyler Rogers,RP,0,0
Hebrew Nationals,Camilo Doval,RP,19,0
Hebrew Nationals,David Bednar,RP,5,0
Hebrew Nationals,Edwin Díaz,RP,13,2
