Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Rico Garcia","BAL",2,2,0,4.34961,53,0,0,7,,53,230,50,27,26,8,23,,1,54,9.21055,3.94107,2.33707,1.34942,0.235957,0.100963,0.13499420881271362,0.242221,1.37586,0.291969,0.735283,,,4.43207,-0.0174733,-0.0485742,999,,,,,,,227.80000000000007,4.298113207547171,225,4.245283018867925,,,,,,,,,,,,,,,,,,,"Rico Garcia","20023",670329
"Ben Peoples","CHW",1,1,0,4.87214,12,0,0,1,,12,53,12,7,6,2,6,,1,10,7.5175,4.26104,1.76424,1.32227,0.187822,0.106461,0.0813615620136261,0.255352,1.4758,0.290649,0.700963,,,4.93991,-0.0177265,-0.0338721,999,,,,,,,36.000000000000014,3.0000000000000013,37,3.0833333333333335,,,,,,,,,,,,,,,,,,,"Ben Peoples","sa3011784",687239
"Andrew Walters","CLE",2,2,0,4.14211,38,0,0,1,,38,164,32,19,17,5,19,,2,43,10.2576,4.51718,2.2708,1.22506,0.263877,0.116205,0.14767245948314667,0.224142,1.34526,0.284404,0.73256,,,4.29507,-0.0180753,-0.0240552,999,,,,,,,163.5,4.302631578947368,152,4,,,,,,,,,,,,,,,,,,,"Andrew Walters","33834",689958
"Yunior Marte","CIN",1,1,0,4.96115,18,0,0,1,,18,80,19,11,10,3,8,,1,15,7.71383,4.00668,1.92524,1.31596,0.192144,0.0998025,0.09234149754047394,0.260557,1.47478,0.299632,0.69088,,,4.84932,-0.0182033,-0.0451778,999,,,,,,,53.90000000000001,2.9944444444444454,58,3.2222222222222223,,,,,,,,,,,,,,,,,,,"Yunior Marte","14416",628708
"Blake Walston","ARI",1,1,0,4.4504,12,0,0,1,,12,53,12,6,6,1,5,,1,9,7.06602,3.81272,1.85328,1.08831,0.177764,0.0959188,0.0818452388048172,0.258425,1.44098,0.295783,0.715715,,,4.57657,-0.0182344,0.00175738,999,,,,,,,49.30000000000001,4.108333333333334,51,4.25,,,,,,,,,,,,,,,,,,,"Blake Walston","26270",686796
"Dale Stanavich","MIA",1,1,0,4.41242,16,0,0,1,,16,72,15,8,8,2,9,,1,15,8.16768,4.94313,1.65233,1.03141,0.201984,0.122242,0.07974186539649963,0.246406,1.5051,0.294446,0.724864,,,4.65133,-0.0188046,0.00319593,999,,,,,,,58.80000000000001,3.6750000000000007,58,3.625,,,,,,,,,,,,,,,,,,,"Dale Stanavich","sa3019833",689359
"John Klein","MIN",3,4,0,4.4405,52,0,0,7,,52,226,52,28,26,7,18,,4,45,7.81285,3.16288,2.47017,1.20886,0.199402,0.080724,0.11867765337228775,0.252878,1.34292,0.293712,0.702168,,,4.44307,-0.0189278,-0.0747234,999,,,,,,,215.50000000000006,4.14423076923077,221,4.25,,,,,,,,,,,,,,,,,,,"John Klein","sa3020405",804619
"Max Lazar","PHI",2,2,0,4.5423,38,0,0,1,,38,163,39,21,19,5,12,,1,30,7.07829,2.90086,2.44007,1.29086,0.183104,0.0750404,0.10806341469287872,0.25945,1.34637,0.291877,0.702772,,,4.47152,-0.0192937,-0.0468902,999,,,,,,,143.29999999999998,3.771052631578947,150,3.9473684210526314,,,,,,,,,,,,,,,,,,,"Max Lazar","23426",676661
"Daniel Espino","CLE",1,1,0,4.27259,23,0,0,0,,23,101,21,12,11,4,12,,0,25,9.92343,4.68606,2.11765,1.37825,0.25,0.118056,0.1319444477558136,0.237154,1.43951,0.292398,0.75,,,4.5287,-0.0198187,-0.0285132,999,,,,,,,80.4,3.4956521739130437,77,3.347826086956522,,,,,,,,,,,,,,,,,,,"Daniel Espino","sa3011495",682982
"Will Childers","MIL",1,1,0,4.69499,12,0,0,1,,12,53,12,7,6,2,6,,0,10,7.6491,4.26053,1.79534,1.28855,0.192123,0.107012,0.08511118590831757,0.251458,1.45976,0.287827,0.715225,,,4.79992,-0.0199211,-0.0320517,999,,,,,,,39.000000000000014,3.2500000000000013,40,3.3333333333333335,,,,,,,,,,,,,,,,,,,"Will Childers","sa3021720",682999
