Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Jacob deGrom","TEX",11,8,17,3.50159,29,29,0,0,,169,679,143,71,66,23,40,,4,188,10.0246,2.11106,4.74861,1.22894,0.276554,0.0582389,0.2183147631585598,0.224947,1.08273,0.282374,0.741875,,,3.45375,3.67654,3.30797,46.400001525878906,,,,,,,839.9000000000003,4.969822485207103,790,4.674556213017752,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Framber Valdez","DET",13,10,19,3.41475,31,31,0,0,,195,813,177,81,74,17,65,,8,180,8.33,2.98515,2.79048,0.778979,0.221822,0.0794924,0.14232975244522095,0.239357,1.24059,0.295261,0.738088,,,3.53487,3.63975,3.97206,91.4000015258789,,,,,,,914.7,4.690769230769231,895,4.589743589743589,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"Yoshinobu Yamamoto","LAD",12,7,16,3.37688,26,26,0,0,,155,627,129,63,58,17,43,,5,165,9.53851,2.51926,3.78623,0.968098,0.262612,0.0693596,0.1932520791888237,0.223362,1.11176,0.283276,0.731528,,,3.34858,3.63133,3.56905,27.459999084472656,,,,,,,788.5000000000001,5.087096774193549,740,4.774193548387097,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Bryan Woo","SEA",13,10,19,3.46451,32,32,0,0,,195,788,168,81,75,25,43,,9,197,9.09431,1.96283,4.63327,1.15706,0.250406,0.0540453,0.19636111333966255,0.22857,1.08056,0.278598,0.737317,,,3.57161,3.54594,3.31022,38.43000030517578,,,,,,,936.7,4.803589743589744,888,4.553846153846154,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Jesús Luzardo","PHI",12,10,17,3.77516,31,31,0,0,,179,742,157,81,75,23,56,,5,197,9.94063,2.80408,3.54506,1.16939,0.265903,0.0750066,0.19089658558368683,0.23095,1.19247,0.291094,0.730127,,,3.63384,3.53203,3.38976,74.69000244140625,,,,,,,844.5000000000002,4.717877094972068,807,4.5083798882681565,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Ranger Suárez","BOS",12,9,17,3.6147,29,29,0,0,,169,713,166,74,68,17,49,,5,149,7.94049,2.60125,3.05256,0.886565,0.209134,0.068511,0.1406230926513672,0.251235,1.26889,0.301895,0.735039,,,3.60671,3.37192,3.41206,174.60000610351562,,,,,,,745.9000000000002,4.413609467455623,760,4.497041420118343,,,,,,,,,,,,,,,,,,,"Ranger Suarez","17277",624133
"Zack Wheeler","PHI",10,6,15,3.31331,24,24,0,0,,147,598,124,59,54,16,39,,7,160,9.80937,2.3616,4.1537,1.00665,0.26811,0.0645473,0.20356276631355286,0.224809,1.10709,0.286761,0.744492,,,3.33299,3.31775,3.60301,119.73999786376953,,,,,,,750.6,5.106122448979592,709,4.8231292517006805,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"George Kirby","SEA",12,9,18,3.52142,31,31,0,0,,173,711,160,74,68,21,32,,7,170,8.83426,1.67711,5.26756,1.07605,0.239412,0.0454502,0.1939617618918419,0.238864,1.11146,0.290621,0.726779,,,3.40724,3.26856,2.68705,68.97000122070312,,,,,,,828.9000000000001,4.791329479768787,815,4.710982658959537,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Joe Ryan","MIN",11,10,16,3.79135,29,29,0,0,,167,685,147,76,70,24,40,,9,183,9.8302,2.13676,4.60052,1.31384,0.266838,0.0580017,0.20883627608418465,0.231324,1.11723,0.286077,0.729322,,,3.71811,3.14343,2.7826,73.73999786376953,,,,,,,777.3999999999999,4.65508982035928,742,4.4431137724550895,,,,,,,,,,,,,,,,,,,"Joe Ryan","21390",657746
"Shane McClanahan","TBR",9,7,14,3.33406,24,24,0,0,,139,565,119,56,51,16,39,,3,150,9.73377,2.53829,3.83478,1.04085,0.265425,0.0692153,0.19620996713638306,0.228158,1.14201,0.289391,0.755967,,,3.39198,3.12991,3.08784,217.08999633789062,,,,,,,696.4000000000002,5.010071942446045,661,4.755395683453237,,,,,,,,,,,,,,,,,,,"Shane McClanahan","21483",663556
"Aaron Nola","PHI",11,10,16,4.11498,31,31,0,0,,180,752,172,89,82,26,45,,5,177,8.86353,2.25866,3.92425,1.3038,0.235785,0.0600842,0.17570127546787262,0.246019,1.20928,0.294131,0.711931,,,3.89326,3.10939,2.62677,212.88999938964844,,,,,,,769,4.272222222222222,766,4.2555555555555555,,,,,,,,,,,,,,,,,,,"Aaron Nola","16149",605400
"Logan Gilbert","SEA",10,7,17,3.4103,29,29,0,0,,163,661,139,67,62,21,39,,5,178,9.82588,2.14167,4.58795,1.15354,0.269651,0.0587737,0.2108771987259388,0.224649,1.08658,0.281691,0.745625,,,3.43171,3.05453,2.85073,33.65999984741211,,,,,,,810.5000000000001,4.97239263803681,766,4.699386503067485,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Kevin Gausman","TOR",12,10,17,3.87694,31,31,0,0,,182,763,171,85,78,24,53,,3,177,8.75566,2.60045,3.36698,1.19279,0.231942,0.0688872,0.16305454820394516,0.242428,1.23128,0.291119,0.731793,,,3.83419,3.04349,2.57431,121.37000274658203,,,,,,,792.9999999999999,4.357142857142857,784,4.3076923076923075,,,,,,,,,,,,,,,,,,,"Kevin Gausman","14107",592332
"Nathan Eovaldi","TEX",10,10,16,3.77574,29,29,0,0,,173,715,160,79,73,22,45,,7,164,8.50035,2.33718,3.63701,1.12281,0.22861,0.0628565,0.1657533496618271,0.241168,1.18398,0.289339,0.720775,,,3.76458,2.94786,2.69383,149.1699981689453,,,,,,,765.5999999999999,4.4254335260115605,751,4.341040462427745,,,,,,,,,,,,,,,,,,,"Nathan Eovaldi","9132",543135
"Michael King","SDP",10,9,16,3.68174,29,29,0,0,,161,681,143,72,66,20,58,,7,170,9.47318,3.25778,2.90786,1.11873,0.249387,0.085763,0.16362407803535461,0.231747,1.24559,0.288058,0.749034,,,3.86932,2.90703,2.69389,126.05999755859375,,,,,,,718.6000000000001,4.463354037267082,690,4.285714285714286,,,,,,,,,,,,,,,,,,,"Michael King","19853",650633
"Brandon Woodruff","MIL",10,8,15,3.74258,28,28,0,0,,149,613,131,66,62,21,40,,6,158,9.52927,2.43324,3.91629,1.26325,0.257035,0.0656324,0.19140291959047318,0.231769,1.15307,0.284489,0.738609,,,3.77438,2.90507,2.75491,107.7699966430664,,,,,,,681.7000000000002,4.575167785234901,650,4.3624161073825505,,,,,,,,,,,,,,,,,,,"Brandon Woodruff","16162",605540
"Kyle Bradish","BAL",8,7,15,3.61754,26,26,0,0,,137,573,122,60,55,15,43,,6,145,9.5162,2.84573,3.34403,0.99243,0.253569,0.0758273,0.17774133384227753,0.233436,1.20476,0.294939,0.732759,,,3.54422,2.88548,2.37964,70.37000274658203,,,,,,,655.1000000000001,4.781751824817519,633,4.62043795620438,,,,,,,,,,,,,,,,,,,"Kyle Bradish","24586",680694
"MacKenzie Gore","TEX",11,9,16,3.82313,29,29,0,0,,160,677,139,73,68,19,60,,8,182,10.2504,3.36317,3.04784,1.09722,0.268969,0.0882493,0.18072019517421722,0.228277,1.24403,0.293294,0.733186,,,3.70743,2.88366,2.49712,172.1999969482422,,,,,,,748.9,4.680625,713,4.45625,,,,,,,,,,,,,,,,,,,"MacKenzie Gore","22201",669022
"Drew Rasmussen","TBR",10,8,17,3.6404,31,31,0,0,,160,656,147,70,65,18,42,,5,144,8.07661,2.33884,3.45326,1.03823,0.219031,0.0634273,0.15560389310121536,0.241846,1.18005,0.288254,0.728671,,,3.71698,2.88004,2.94087,154.11000061035156,,,,,,,727.3999999999999,4.546249999999999,713,4.45625,,,,,,,,,,,,,,,,,,,"Drew Rasmussen","25385",656876
"José Soriano","LAA",11,10,17,3.85891,31,31,0,0,,176,757,163,82,75,15,76,,10,164,8.386,3.90752,2.14612,0.756463,0.216575,0.100915,0.1156601682305336,0.242554,1.358,0.300681,0.717336,,,3.84498,2.87598,2.82806,392.4599914550781,,,,,,,764.1000000000001,4.341477272727274,755,4.2897727272727275,,,,,,,,,,,,,,,,,,,"Jose Soriano","22100",667755
"Spencer Strider","ATL",12,9,15,3.84734,28,28,0,0,,159,665,136,73,68,20,55,,8,187,10.618,3.12543,3.39729,1.15017,0.281588,0.0828859,0.19870181381702423,0.226555,1.20702,0.294274,0.725528,,,3.62143,2.83385,2.76212,98.69000244140625,,,,,,,762.0000000000001,4.79245283018868,720,4.528301886792453,,,,,,,,,,,,,,,,,,,"Spencer Strider","27498",675911
"Sandy Alcantara","MIA",11,11,16,4.07616,31,31,0,0,,188,790,182,92,85,21,54,,7,156,7.47385,2.58795,2.88794,1.0117,0.197593,0.0684201,0.12917331606149673,0.250364,1.25791,0.29252,0.696549,,,3.91641,2.72258,2.74169,151.60000610351562,,,,,,,788.7,4.195212765957447,796,4.23404255319149,,,,,,,,,,,,,,,,,,,"Sandy Alcantara","18684",645261
"Blake Snell","LAD",10,6,14,3.54546,24,24,0,0,,132,555,106,56,52,15,59,,3,164,11.1768,3.99889,2.79497,1.03152,0.296177,0.105968,0.1902088299393654,0.21462,1.24383,0.289138,0.755376,,,3.54466,2.68587,2.77725,109.80000305175781,,,,,,,658.7000000000002,4.990151515151516,607,4.598484848484849,,,,,,,,,,,,,,,,,,,"Blake Snell","13543",605483
"Andrew Abbott","CIN",9,9,15,4.17201,29,29,0,0,,164,695,159,82,76,25,50,,4,149,8.17235,2.75446,2.96695,1.3425,0.214952,0.0724487,0.14250286668539047,0.247746,1.2703,0.287519,0.728135,,,4.25517,2.65386,2.50102,210.86000061035156,,,,,,,628.7000000000002,3.8335365853658545,631,3.847560975609756,,,,,,,,,,,,,,,,,,,"Andrew Abbott","29911",671096
"Chase Burns","CIN",8,7,12,3.74428,31,23,0,1,,123,512,108,56,51,17,36,,2,142,10.3865,2.63494,3.94183,1.21712,0.277719,0.0704544,0.20726512372493744,0.228256,1.17059,0.290472,0.733149,,,3.51428,2.63707,2.3142,102.29000091552734,,,,,,,594.3,4.83170731707317,568,4.617886178861789,,,,,,,,,,,,,,,,,,,"Chase Burns","35333",695505
"Freddy Peralta","NYM",11,9,16,3.82933,29,29,0,0,,162,680,137,75,69,21,61,,7,177,9.82741,3.37403,2.91267,1.1885,0.260641,0.0894852,0.17115535587072372,0.223683,1.21822,0.279346,0.733531,,,3.92574,2.63438,2.40515,58.2599983215332,,,,,,,734.3,4.532716049382715,687,4.2407407407407405,,,,,,,,,,,,,,,,,,,"Freddy Peralta","18679",642547
"Tyler Glasnow","LAD",8,6,13,3.67862,24,24,0,0,,133,546,110,59,54,17,49,,3,155,10.5004,3.3191,3.16362,1.12629,0.283456,0.0895987,0.19385717809200287,0.222168,1.19699,0.288617,0.736167,,,3.59321,2.62687,2.51421,120.48999786376953,,,,,,,643.1,4.8353383458646615,598,4.496240601503759,,,,,,,,,,,,,,,,,,,"Tyler Glasnow","14374",607192
"Nick Pivetta","SDP",10,10,16,3.91616,29,29,0,0,,173,714,150,81,75,27,52,,5,190,9.85738,2.72088,3.62286,1.41455,0.266,0.0734226,0.19257717579603195,0.228801,1.16894,0.279836,0.740968,,,3.97744,2.55429,2.49582,96.66000366210938,,,,,,,767.0999999999999,4.434104046242774,723,4.179190751445087,,,,,,,,,,,,,,,,,,,"Nick Pivetta","15454",601713
"Tanner Bibee","CLE",11,11,17,3.89955,31,31,0,0,,182,764,170,85,79,24,54,,8,170,8.42038,2.68391,3.13736,1.20985,0.222655,0.070969,0.15168630331754684,0.242243,1.23317,0.286974,0.731506,,,4.03875,2.5449,2.57854,186.02999877929688,,,,,,,763.5999999999999,4.195604395604395,752,4.131868131868132,,,,,,,,,,,,,,,,,,,"Tanner Bibee","30134",676440
"Kris Bubic","KCR",10,8,12,3.74484,34,24,0,1,,145,614,136,65,60,16,49,,5,140,8.71204,3.05443,2.85226,0.967036,0.228317,0.0800478,0.14826952666044235,0.243214,1.28034,0.298386,0.735793,,,3.7086,2.52615,2.51153,210.11000061035156,,,,,,,644.6,4.445517241379311,639,4.406896551724138,,,,,,,,,,,,,,,,,,,"Kris Bubic","21455",663460
"Jack Flaherty","DET",11,10,15,4.01628,29,29,0,0,,160,684,145,77,72,21,58,,7,176,9.87095,3.26759,3.02087,1.1938,0.256889,0.0850382,0.1718507707118988,0.234635,1.26892,0.293853,0.727238,,,3.89218,2.48698,2.11347,227.1999969482422,,,,,,,705.7,4.4106250000000005,684,4.275,,,,,,,,,,,,,,,,,,,"Jack Flaherty","17479",656427
"Matthew Boyd","CHC",11,9,16,3.88892,29,29,0,0,,167,699,156,78,72,22,49,,7,149,8.01306,2.61661,3.06238,1.16513,0.212934,0.069532,0.1434016302227974,0.242941,1.22567,0.284761,0.727042,,,4.0361,2.41944,2.59814,235.08999633789062,,,,,,,689.5999999999998,4.129341317365268,679,4.065868263473054,,,,,,,,,,,,,,,,,,,"Matthew Boyd","15440",571510
"Nick Lodolo","CIN",9,9,14,4.13429,28,28,0,0,,151,640,140,75,70,21,42,,16,154,9.17363,2.47748,3.70281,1.24745,0.241015,0.0650896,0.1759251207113266,0.240762,1.20155,0.292882,0.701427,,,4.04409,2.36257,2.35225,129,,,,,,,629.1000000000001,4.166225165562915,616,4.079470198675497,,,,,,,,,,,,,,,,,,,"Nick Lodolo","26378",666157
"Mitch Keller","PIT",10,11,16,4.19294,31,31,0,0,,175,751,174,88,82,22,53,,11,152,7.80304,2.71637,2.8726,1.10871,0.202517,0.0704994,0.1320173293352127,0.25397,1.29673,0.297796,0.705975,,,4.09375,2.34004,2.38206,610.8300170898438,,,,,,,684.0000000000001,3.9085714285714293,701,4.005714285714285,,,,,,,,,,,,,,,,,,,"Mitch Keller","17594",656605
"Luis Castillo","SEA",11,10,17,3.81675,31,31,0,0,,179,749,166,82,76,24,51,,7,167,8.38771,2.54297,3.29839,1.22555,0.223333,0.0677097,0.15562307834625244,0.240274,1.20841,0.283529,0.73548,,,4.00046,2.33489,2.16617,172.6300048828125,,,,,,,757.8000000000001,4.233519553072626,743,4.150837988826815,,,,,,,,,,,,,,,,,,,"Luis Castillo","15689",622491
"Brady Singer","CIN",10,12,15,4.37771,31,31,0,0,,169,726,165,89,82,25,54,,10,160,8.53284,2.88912,2.95344,1.31346,0.221042,0.0748422,0.14619939029216766,0.249775,1.29694,0.295035,0.707944,,,4.28213,2.33456,2.13389,337.42999267578125,,,,,,,642.1000000000001,3.7994082840236696,648,3.834319526627219,,,,,,,,,,,,,,,,,,,"Brady Singer","25377",663903
"Yusei Kikuchi","LAA",9,10,15,4.20876,31,31,0,0,,169,728,165,86,79,25,63,,5,173,9.20513,3.32379,2.76947,1.33083,0.238067,0.0859613,0.15210610628128052,0.249518,1.34191,0.302403,0.737694,,,4.20676,2.32468,1.96174,532.0599975585938,,,,,,,656.1000000000001,3.88224852071006,662,3.9171597633136095,,,,,,,,,,,,,,,,,,,"Yusei Kikuchi","20633",579328
"Shohei Ohtani","LAD",8,5,13,3.51178,23,23,0,0,,116,471,91,49,45,15,40,,6,138,10.7097,3.12064,3.4319,1.18038,0.292261,0.0851603,0.2071010321378708,0.213879,1.13266,0.278211,0.746099,,,3.65117,2.30604,2.45768,1.2300000190734863,,,,,,,575.3000000000001,4.95948275862069,523,4.508620689655173,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Mason Miller","SDP",4,2,0,2.43292,66,0,32,2,,66,259,39,19,18,6,24,,2,106,14.5007,3.33283,4.35086,0.812601,0.410259,0.0942939,0.31596533954143524,0.168172,0.962709,0.275718,0.803549,,,2.30056,2.30461,2.39491,28.829999923706055,,,,,,,615.2000000000002,9.321212121212124,554,8.393939393939394,,,,,,,,,,,,,,,,,,,"Mason Miller","31757",695243
"Carlos Rodón","NYY",11,9,15,3.9967,28,28,0,0,,155,655,136,74,69,21,56,,6,163,9.44928,3.26628,2.89298,1.19623,0.248606,0.0859342,0.1626720055937767,0.230225,1.24204,0.283116,0.72231,,,3.97734,2.30238,1.97265,191.88999938964844,,,,,,,675.1,4.355483870967742,642,4.141935483870967,,,,,,,,,,,,,,,,,,,"Carlos Rodon","16137",607074
"Emmet Sheehan","LAD",9,7,11,3.96429,42,24,0,1,,143,594,121,67,63,20,50,,6,162,10.2245,3.15825,3.23739,1.29034,0.27269,0.0842316,0.1884586438536644,0.224859,1.19896,0.282772,0.727582,,,3.91076,2.29725,1.98554,123.80000305175781,,,,,,,657.6,4.5986013986013985,615,4.300699300699301,,,,,,,,,,,,,,,,,,,"Emmet Sheehan","29839",686218
"Ryan Pepiot","TBR",11,11,16,4.05074,31,31,0,0,,169,707,148,82,76,24,61,,8,173,9.21044,3.22594,2.85512,1.2988,0.244738,0.085719,0.15901871770620346,0.231315,1.23142,0.27958,0.726573,,,4.18712,2.29152,2.25648,133,,,,,,,709.6000000000001,4.198816568047338,672,3.9763313609467454,,,,,,,,,,,,,,,,,,,"Ryan Pepiot","26221",686752
"David Peterson","NYM",9,8,16,3.85175,29,29,0,0,,163,705,157,76,70,16,64,,8,146,8.07783,3.5197,2.29503,0.860979,0.20754,0.0904302,0.11711014807224274,0.246794,1.35047,0.298433,0.726735,,,3.89533,2.27255,2.36233,501.489990234375,,,,,,,677.2,4.154601226993865,683,4.190184049079755,,,,,,,,,,,,,,,,,,,"David Peterson","20302",656849
"Eury Pérez","MIA",8,9,14,4.04049,28,28,0,0,,135,561,117,65,61,19,46,,4,145,9.65075,3.09103,3.12218,1.25957,0.258579,0.0828199,0.17575911432504654,0.228575,1.20566,0.282148,0.717297,,,3.93427,2.25524,2.07607,84.73999786376953,,,,,,,601.0999999999999,4.452592592592592,568,4.207407407407407,,,,,,,,,,,,,,,,,,,"Eury Perez","27768",691587
"Joe Musgrove","SDP",9,9,15,3.89009,28,28,0,0,,158,665,150,73,68,20,41,,13,145,8.28125,2.34541,3.53083,1.15834,0.218077,0.0617638,0.1563134491443634,0.24598,1.21467,0.291669,0.72351,,,3.99009,2.25289,2.38664,219.4600067138672,,,,,,,661.2,4.184810126582279,658,4.1645569620253164,,,,,,,,,,,,,,,,,,,"Joe Musgrove","12970",605397
"Steven Matz","TBR",7,8,11,3.94588,37,23,0,1,,138,585,137,65,60,17,37,,5,122,7.98762,2.44694,3.26432,1.14201,0.209288,0.0641136,0.1451740339398384,0.25331,1.26866,0.297844,0.730002,,,3.92654,2.23589,1.87364,726.7999877929688,,,,,,,577.9000000000001,4.187681159420291,591,4.282608695652174,,,,,,,,,,,,,,,,,,,"Steven Matz","13361",571927
"Merrill Kelly","ARI",11,9,16,3.93943,29,29,0,0,,169,713,165,80,74,22,51,,3,151,8.01942,2.69636,2.97417,1.18752,0.21175,0.0711963,0.14055360853672028,0.250567,1.27382,0.293979,0.735862,,,4.02811,2.18977,2.71186,239.50999450683594,,,,,,,691,4.088757396449704,699,4.136094674556213,,,,,,,,,,,,,,,,,,,"Merrill Kelly","11156",518876
"Reid Detmers","LAA",9,9,11,4.07668,34,24,0,1,,145,613,129,71,66,19,53,,7,159,9.84526,3.27313,3.00791,1.16608,0.258712,0.0860108,0.17270168662071228,0.233178,1.25347,0.293246,0.714612,,,3.86875,2.18325,1.84338,331.20001220703125,,,,,,,645.9,4.454482758620689,620,4.275862068965517,,,,,,,,,,,,,,,,,,,"Reid Detmers","27468",672282
"Cody Ponce","TOR",9,9,11,4.05042,47,24,0,1,,163,686,154,79,73,22,48,,6,160,8.82602,2.6802,3.29304,1.22961,0.232545,0.0706172,0.16192814707756042,0.244191,1.24512,0.293504,0.718888,,,3.96295,2.16146,1.69937,271.94000244140625,,,,,,,697.1999999999999,4.277300613496932,691,4.2392638036809815,,,,,,,,,,,,,,,,,,,"Cody Ponce","17920",664074
"Jhoan Duran","PHI",7,3,0,2.6715,70,0,29,3,,70,285,55,23,21,4,22,,4,84,10.831,2.83539,3.81995,0.534399,0.296003,0.0774888,0.2185143679380417,0.211931,1.09864,0.297471,0.756834,,,2.60488,2.14244,2.28675,40.4900016784668,,,,,,,572.8,8.182857142857141,545,7.785714285714286,,,,,,,,,,,,,,,,,,,"Jhoan Duran","21029",661395
"Michael Wacha","KCR",10,11,14,4.30869,29,29,0,0,,164,696,165,84,79,22,48,,5,128,7.01385,2.64286,2.65389,1.23079,0.184018,0.069339,0.11467909067869186,0.256783,1.29797,0.289662,0.709262,,,4.32587,2.14224,1.99102,657.739990234375,,,,,,,611,3.725609756097561,631,3.847560975609756,,,,,,,,,,,,,,,,,,,"Michael Wacha","14078",608379
"Bailey Ober","MIN",8,9,14,4.31535,28,28,0,0,,155,648,153,80,74,25,37,,6,140,8.11724,2.12842,3.81374,1.47614,0.215547,0.0565185,0.1590283401310444,0.252169,1.2228,0.288994,0.712737,,,4.28256,2.1332,1.60117,310.739990234375,,,,,,,592.7,3.823870967741936,601,3.8774193548387097,,,,,,,,,,,,,,,,,,,"Bailey Ober","21224",641927
"Clay Holmes","NYM",10,9,15,3.89121,28,28,0,0,,153,663,152,72,66,13,57,,9,125,7.36603,3.36467,2.18923,0.78393,0.188457,0.0860836,0.10237320512533188,0.254219,1.36816,0.301831,0.718467,,,3.92562,2.11502,2.14463,400.1700134277344,,,,,,,629.0999999999999,4.1117647058823525,648,4.235294117647059,,,,,,,,,,,,,,,,,,,"Clay Holmes","13649",605280
"Jeffrey Springs","ATH",10,11,15,4.37709,31,31,0,0,,171,725,170,89,83,27,54,,4,146,7.69734,2.83407,2.716,1.41991,0.201087,0.0740377,0.127049021422863,0.254887,1.31294,0.289491,0.725255,,,4.4883,2.11084,1.93098,738.8300170898438,,,,,,,609.3000000000002,3.563157894736843,622,3.6374269005847952,,,,,,,,,,,,,,,,,,,"Jeffrey Springs","17677",605488
