Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",14,7,22,2.67157,32,32,0,0,,200,790,156,65,60,19,40,,7,245,10.9986,1.81356,6.06464,0.84838,0.309988,0.0511139,0.2588736414909363,0.210405,0.981413,0.286837,0.77515,,,2.62333,6.33799,6.18384,6.889999866485596,,,,,,,1189.6999999999998,5.948499999999999,1102,5.51,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Garrett Crochet","BOS",15,8,21,2.90047,32,32,0,0,,197,796,162,69,64,20,52,,5,245,11.1845,2.36141,4.73637,0.894352,0.307722,0.0649701,0.24275236576795578,0.218893,1.08316,0.299638,0.774851,,,2.80782,5.79882,5.89967,11.399999618530273,,,,,,,1109.6000000000001,5.632487309644671,1044,5.299492385786802,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Paul Skenes","PIT",13,8,21,2.84126,32,32,0,0,,189,761,152,65,60,17,49,,6,223,10.6206,2.35198,4.51562,0.808429,0.293285,0.0649491,0.228336401283741,0.216064,1.06719,0.291091,0.769041,,,2.82444,5.41289,5.83945,10.140000343322754,,,,,,,1075.3000000000002,5.689417989417991,1005,5.317460317460317,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Cristopher Sánchez","PHI",12,8,20,3.21335,32,32,0,0,,200,820,183,78,71,18,49,,7,193,8.68875,2.20942,3.93259,0.802798,0.235307,0.0598351,0.1754719354212284,0.239375,1.16077,0.298331,0.743061,,,3.2014,4.78536,5.15763,26.309999465942383,,,,,,,1000.8,5.004,984,4.92,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Logan Webb","SFG",14,9,20,3.18584,32,32,0,0,,202,836,191,79,72,16,45,,6,191,8.49737,2.00795,4.23186,0.711908,0.228461,0.053986,0.17447516322135925,0.243504,1.16837,0.302995,0.736219,,,3.02739,4.53357,4.54127,62.970001220703125,,,,,,,1030.4,5.100990099009901,1031,5.103960396039604,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Cole Ragans","KCR",11,8,17,3.40333,29,29,0,0,,163,674,132,67,62,17,58,,5,202,11.1471,3.19671,3.48705,0.955779,0.299181,0.0857977,0.21338295936584473,0.215526,1.16457,0.291703,0.741959,,,3.19204,4.06364,3.70939,45.11000061035156,,,,,,,868.9000000000001,5.330674846625768,809,4.96319018404908,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Chris Sale","ATL",12,6,18,3.15014,28,28,0,0,,165,677,138,62,58,18,44,,10,200,10.9068,2.40856,4.52836,0.953919,0.296245,0.0654199,0.2308248057961464,0.221915,1.10327,0.29809,0.76,,,3.06462,3.9872,4.38187,38.79999923706055,,,,,,,878.8,5.326060606060606,829,5.024242424242424,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Max Fried","NYY",14,9,19,3.32386,31,31,0,0,,189,779,169,76,70,17,54,,7,176,8.37267,2.57814,3.24757,0.812211,0.22524,0.0693565,0.15588317066431046,0.234658,1.17973,0.288221,0.736736,,,3.41849,3.90628,3.96213,53.88999938964844,,,,,,,919.1000000000003,4.862962962962964,893,4.724867724867725,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Dylan Cease","TOR",12,9,18,3.5717,32,32,0,0,,183,765,152,78,72,21,69,,5,214,10.5315,3.38954,3.10707,1.05402,0.279227,0.0898683,0.1893591210246086,0.220079,1.20983,0.286589,0.74732,,,3.5315,3.87366,3.38907,79.66000366210938,,,,,,,906.7,4.954644808743169,848,4.633879781420765,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Hunter Greene","CIN",11,9,17,3.73341,31,31,0,0,,180,735,142,80,75,24,58,,13,212,10.62,2.92092,3.63584,1.21977,0.28841,0.0793242,0.20908566564321518,0.213811,1.11404,0.275127,0.725173,,,3.73378,3.85142,3.76468,42.16999816894531,,,,,,,878.5999999999999,4.88111111111111,799,4.438888888888889,,,,,,,,,,,,,,,,,,,"Hunter Greene","22182",668881
"Hunter Brown","HOU",13,8,19,3.34567,31,31,0,0,,183,759,157,74,68,19,60,,7,197,9.66638,2.96635,3.25868,0.939784,0.259131,0.0795203,0.17961087077856064,0.227433,1.18879,0.290372,0.751692,,,3.44543,3.78014,3.98734,37.290000915527344,,,,,,,905.3,4.946994535519125,861,4.704918032786885,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
"Sonny Gray","BOS",12,10,17,3.71574,31,31,0,0,,178,746,169,80,74,21,47,,5,186,9.3823,2.38654,3.93135,1.0792,0.249291,0.063411,0.18587958812713623,0.244156,1.21444,0.304288,0.733294,,,3.49044,3.71252,3.37465,132.94000244140625,,,,,,,835.5000000000001,4.693820224719102,833,4.679775280898877,,,,,,,,,,,,,,,,,,,"Sonny Gray","12768",543243
