Name,Team,total_z,dollar_value,player_type
Shohei Ohtani,LAD,14.744375400925048,83.72187700462524,Hitter
Aaron Judge,NYY,13.260203189170646,76.30101594585324,Hitter
Juan Soto,NYM,12.997273550015013,74.98636775007506,Hitter
Mason Miller,SDP,13.370407585739969,74.85203792869984,Pitcher
Tarik Skubal,DET,13.308341952805812,74.54170976402906,Pitcher
Garrett Crochet,BOS,12.054110746893961,68.27055373446981,Pitcher
Edwin Díaz,LAD,11.799245927514256,66.99622963757128,Pitcher
Ronald Acuña Jr.,ATL,11.0150183353984,65.075091676992,Hitter
Jhoan Duran,PHI,11.351245620878029,64.75622810439015,Pitcher
Cade Smith,CLE,11.339316636267288,64.69658318133644,Pitcher
Paul Skenes,PIT,11.226949233505604,64.13474616752802,Pitcher
Josh Hader,HOU,10.150259067732126,58.751295338660626,Pitcher
Kyle Tucker,LAD,9.68475369724068,58.4237684862034,Hitter
Devin Williams,NYM,10.076205366780908,58.38102683390454,Pitcher
Corbin Carroll,ARI,9.592473088426173,57.96236544213087,Hitter
David Bednar,NYY,9.794204485963744,56.971022429818724,Pitcher
Aroldis Chapman,BOS,9.748395228133372,56.741976140666864,Pitcher
Bobby Witt Jr.,KCR,9.211391851724079,56.056959258620395,Hitter
Andrés Muñoz,SEA,9.57922581544777,55.896129077238854,Pitcher
José Ramírez,CLE,9.00249350162173,55.01246750810865,Hitter
Elly De La Cruz,CIN,8.954321873185988,54.77160936592994,Hitter
Logan Webb,SFG,9.349040271599787,54.74520135799894,Pitcher
Chris Sale,ATL,9.328851341884482,54.64425670942241,Pitcher
Fernando Tatis Jr.,SDP,8.853698752570311,54.268493762851556,Hitter
Bryan Woo,SEA,9.142478259147612,53.71239129573806,Pitcher
Kyle Schwarber,PHI,8.487385928866516,52.43692964433258,Hitter
Vladimir Guerrero Jr.,TOR,8.257569274957191,51.28784637478596,Hitter
Gunnar Henderson,BAL,8.218481550144535,51.09240775072267,Hitter
Cristopher Sánchez,PHI,8.397587956256126,49.98793978128063,Pitcher
Julio Rodríguez,SEA,7.95373028350989,49.76865141754945,Hitter
Ryan Walker,SFG,8.344977202486332,49.72488601243166,Pitcher
Hunter Brown,HOU,8.255327451675644,49.276637258378216,Pitcher
Jacob deGrom,TEX,8.185551944516579,48.92775972258289,Pitcher
Max Fried,NYY,8.14122253003832,48.7061126501916,Pitcher
Yoshinobu Yamamoto,LAD,7.964165147503385,47.82082573751693,Pitcher
Hunter Greene,CIN,7.882423441091831,47.412117205459154,Pitcher
Cole Ragans,KCR,7.854437583329818,47.27218791664909,Pitcher
Logan Gilbert,SEA,7.776805266835286,46.884026334176426,Pitcher
Jeff Hoffman,TOR,7.765711370541746,46.82855685270873,Pitcher
George Kirby,SEA,7.760236599917906,46.80118299958953,Pitcher
Francisco Lindor,NYM,7.295570652160264,46.47785326080132,Hitter
Dylan Cease,TOR,7.47373276992747,45.36866384963735,Pitcher
Abner Uribe,MIL,7.466597057130487,45.332985285652434,Pitcher
Bryce Harper,PHI,7.038220213682833,45.19110106841416,Hitter
Griffin Jax,TBR,7.320720438787484,44.60360219393742,Pitcher
Junior Caminero,TBR,6.901509949303933,44.507549746519665,Hitter
Raisel Iglesias,ATL,7.292740076673712,44.46370038336856,Pitcher
Zach Neto,LAA,6.869695364458633,44.348476822293165,Hitter
Ryan Helsley,BAL,7.163020403357122,43.81510201678561,Pitcher
Nick Kurtz,ATH,6.754511332390675,43.772556661953374,Hitter
Framber Valdez,,7.147155338420985,43.73577669210493,Pitcher
Spencer Schwellenbach,ATL,7.1438343663136274,43.71917183156814,Pitcher
Pete Alonso,BAL,6.699585934351603,43.497929671758016,Hitter
Joe Ryan,MIN,7.085643173340716,43.42821586670358,Pitcher
Jazz Chisholm Jr.,NYY,6.66800752471887,43.340037623594355,Hitter
Daniel Palencia,CHC,7.060601749470604,43.30300874735302,Pitcher
Jesús Luzardo,PHI,6.946035982939728,42.73017991469864,Pitcher
Cal Raleigh,SEA,6.525885186255478,42.62942593127739,Hitter
Yordan Alvarez,HOU,6.521704628220991,42.60852314110495,Hitter
Pete Fairbanks,MIA,6.915628160747318,42.57814080373659,Pitcher
Wyatt Langford,TEX,6.495360580969997,42.47680290484999,Hitter
Brent Rooker,ATH,6.4409130771249,42.204565385624505,Hitter
Pete Crow-Armstrong,CHC,6.36818030630274,41.8409015315137,Hitter
James Wood,WSN,6.327007877240044,41.63503938620022,Hitter
Nick Pivetta,SDP,6.649675541629227,41.24837770814614,Pitcher
Sonny Gray,BOS,6.587905009653555,40.939525048267775,Pitcher
Zack Wheeler,PHI,6.561052924549265,40.80526462274632,Pitcher
Spencer Strider,ATL,6.429233497951176,40.14616748975588,Pitcher
Geraldo Perdomo,ARI,6.020497303025469,40.102486515127346,Hitter
Freddie Freeman,LAD,5.956240613605617,39.781203068028084,Hitter
Mookie Betts,LAD,5.845276871267728,39.22638435633864,Hitter
Jackson Chourio,MIL,5.836370430257857,39.18185215128929,Hitter
Ketel Marte,ARI,5.690690960521014,38.453454802605066,Hitter
Trea Turner,PHI,5.639276998781784,38.19638499390892,Hitter
Rafael Devers,SFG,5.623402224166067,38.117011120830334,Hitter
Pablo López,MIN,5.976132230573521,37.8806611528676,Pitcher
Brandon Woodruff,MIL,5.952014540085801,37.760072700429006,Pitcher
Shane McClanahan,TBR,5.906489616308418,37.53244808154209,Pitcher
Michael King,SDP,5.885083251696353,37.42541625848177,Pitcher
Matt Olson,ATL,5.443807804514613,37.219039022573064,Hitter
Randy Arozarena,SEA,5.411138796186484,37.05569398093242,Hitter
Freddy Peralta,NYM,5.794311971408783,36.971559857043914,Pitcher
Kevin Gausman,TOR,5.78437567296359,36.92187836481795,Pitcher
Blake Snell,LAD,5.751664576307131,36.758322881535655,Pitcher
Luis Castillo,SEA,5.6921002964848215,36.46050148242411,Pitcher
Robert Garcia,TEX,5.682807741496003,36.41403870748002,Pitcher
MacKenzie Gore,TEX,5.644868404611053,36.224342023055264,Pitcher
Nathan Eovaldi,TEX,5.638627234028347,36.19313617014174,Pitcher
Dennis Santana,PIT,5.537347933169325,35.68673966584663,Pitcher
Zac Gallen,,5.526528551498698,35.63264275749349,Pitcher
Shohei Ohtani,LAD,5.522871170461959,35.61435585230979,Pitcher
Ranger Suárez,BOS,5.409049234013278,35.04524617006639,Pitcher
Tanner Bibee,CLE,5.320028158784788,34.60014079392394,Pitcher
Kyle Bradish,BAL,5.2523062920568995,34.2615314602845,Pitcher
Emilio Pagán,CIN,5.250695512049971,34.253477560249856,Pitcher
Aaron Nola,PHI,5.2500472525178665,34.25023626258933,Pitcher
Josh Naylor,SEA,4.814835946520688,34.07417973260344,Hitter
Roman Anthony,BOS,4.709140756566115,33.54570378283057,Hitter
Carlos Estévez,KCR,5.108887870717141,33.5444393535857,Pitcher
George Springer,TOR,4.704162922684953,33.52081461342476,Hitter
Matt Chapman,SFG,4.678069948139606,33.39034974069803,Hitter
CJ Abrams,WSN,4.651339818875663,33.25669909437832,Hitter
Christian Yelich,MIL,4.623228705977252,33.11614352988626,Hitter
Drew Rasmussen,TBR,5.022488472350692,33.11244236175346,Pitcher
Matthew Boyd,CHC,4.968349028973415,32.841745144867076,Pitcher
Cody Bellinger,NYY,4.530978097981018,32.65489048990509,Hitter
Munetaka Murakami,CHW,4.524199161061622,32.62099580530811,Hitter
Byron Buxton,MIN,4.482439610661057,32.41219805330529,Hitter
Brice Turang,MIL,4.479547770349838,32.397738851749196,Hitter
Tyler Glasnow,LAD,4.85404568867266,32.2702284433633,Pitcher
Jack Flaherty,DET,4.839507084706448,32.197535423532244,Pitcher
Garrett Cleavinger,TBR,4.819515781989407,32.09757890994704,Pitcher
Riley Greene,DET,4.388273758438272,31.941368792191362,Hitter
Emmet Sheehan,LAD,4.772145674946774,31.86072837473387,Pitcher
Carlos Rodón,NYY,4.7507206159934965,31.753603079967483,Pitcher
Willy Adames,SFG,4.311176873404768,31.55588436702384,Hitter
Yandy Díaz,TBR,4.310775117753174,31.55387558876587,Hitter
Chase Burns,CIN,4.7089782814999115,31.544891407499556,Pitcher
Seiya Suzuki,CHC,4.300908567347151,31.504542836735755,Hitter
Maikel Garcia,KCR,4.287802903296857,31.439014516484285,Hitter
Trevor Megill,MIL,4.684814447900353,31.42407223950176,Pitcher
Oneil Cruz,PIT,4.2774504826290505,31.38725241314525,Hitter
Manny Machado,SDP,4.260781665210412,31.30390832605206,Hitter
Bryan Abreu,HOU,4.583070512417452,30.915352562087257,Pitcher
Merrill Kelly,ARI,4.582305477798751,30.911527388993754,Pitcher
Ryan Pepiot,TBR,4.554606351385395,30.773031756926976,Pitcher
Hunter Harvey,CHC,4.548141380465555,30.740706902327776,Pitcher
Jakob Marsee,MIA,4.064645782984774,30.323228914923874,Hitter
Austin Riley,ATL,4.052317435478209,30.261587177391046,Hitter
Iván Herrera,STL,3.9997273402827562,29.99863670141378,Hitter
Trevor Story,BOS,3.9745226367503053,29.872613183751525,Hitter
Taylor Ward,BAL,3.9656760116142107,29.828380058071055,Hitter
Sandy Alcantara,MIA,4.360329616235023,29.801648081175117,Pitcher
Gavin Williams,CLE,4.3494226972883245,29.747113486441624,Pitcher
Joe Musgrove,SDP,4.345581175854017,29.727905879270082,Pitcher
Ian Happ,CHC,3.933111625119568,29.66555812559784,Hitter
Michael Busch,CHC,3.8337914504213506,29.168957252106754,Hitter
William Contreras,MIL,3.799535632720656,28.99767816360328,Hitter
Kris Bubic,KCR,4.176995203212435,28.884976016062176,Pitcher
Corey Seager,TEX,3.7736226902230188,28.868113451115093,Hitter
Shota Imanaga,CHC,4.167932925248091,28.839664626240456,Pitcher
Nick Lodolo,CIN,4.146942358867838,28.73471179433919,Pitcher
Edwin Uceta,TBR,4.138695304518032,28.69347652259016,Pitcher
Kenley Jansen,DET,4.137551544018497,28.687757720092485,Pitcher
Seranthony Domínguez,CHW,4.085273871151918,28.42636935575959,Pitcher
Brandon Pfaadt,ARI,4.06437926089335,28.32189630446675,Pitcher
Luke Keaschall,MIN,3.661561565711118,28.30780782855559,Hitter
Jeremiah Estrada,SDP,4.024846963685611,28.124234818428054,Pitcher
Alex Bregman,CHC,3.6150052036827787,28.075026018413894,Hitter
Steven Kwan,CLE,3.601101406036724,28.005507030183622,Hitter
Garrett Whitlock,BOS,3.9697048084098068,27.848524042049036,Pitcher
Jacob Misiorowski,MIL,3.9662185694000813,27.831092847000406,Pitcher
Shane Bieber,TOR,3.965731091143775,27.828655455718874,Pitcher
Robbie Ray,SFG,3.9561383664524676,27.780691832262338,Pitcher
José Soriano,LAA,3.946253449696227,27.731267248481135,Pitcher
Nico Hoerner,CHC,3.508020897223729,27.540104486118643,Hitter
Edward Cabrera,CHC,3.904892837913957,27.524464189569784,Pitcher
