Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Josh White","MIA",3,3,0,3.96089,47,0,0,1,,47,201,42,22,21,6,19,,2,47,9.08527,3.65359,2.48667,1.06913,0.236367,0.0950533,0.14131317287683487,0.234543,1.30153,0.288754,0.728338,,,4.01771,0.0461209,0.0547084,999,,,,,,,199.8,4.251063829787234,192,4.085106382978723,,,,,,,,,,,,,,,,,,,"Josh White","sa3019953",687985
"Ben Kudrna","KCR",1,1,1,4.79663,10,2,0,1,,16,73,17,9,9,2,7,,1,13,6.85673,3.93866,1.74088,1.13991,0.171391,0.098451,0.0729401558637619,0.260357,1.46918,0.294413,0.693584,,,4.70717,0.0447049,-0.019369,999,,,,,,,55.60000000000001,3.4750000000000005,60,3.75,,,,,,,,,,,,,,,,,,,"Ben Kudrna","sa3018253",695667
"Ryan Webb","CLE",0,1,1,4.6032,2,2,0,0,,9,39,9,5,4,1,4,,1,7,7.27409,3.95643,1.83855,1.22052,0.182137,0.0990657,0.08307123184204102,0.258606,1.45653,0.294902,0.714593,,,4.79714,0.044568,0.0461956,999,,,,,,,29.900000000000013,3.3222222222222237,31,3.4444444444444446,,,,,,,,,,,,,,,,,,,"Ryan Webb","sa3018280",669067
"Thomas Harrington","PIT",1,1,1,4.56993,12,2,0,1,,18,80,19,10,9,3,6,,1,14,7.05325,2.76905,2.54717,1.32116,0.181592,0.0712918,0.11030056327581406,0.260683,1.34043,0.292276,0.701973,,,4.5379,0.0444912,0.0170459,999,,,,,,,57.90000000000001,3.2166666666666672,62,3.4444444444444446,,,,,,,,,,,,,,,,,,,"Thomas Harrington","31989",802419
"Nick Sandlin","LAA",3,3,0,4.38586,50,0,0,4,,50,213,44,26,24,7,23,,3,51,9.17855,4.07968,2.24982,1.30771,0.239931,0.106645,0.1332864835858345,0.237251,1.34066,0.288174,0.716722,,,4.5155,0.0441249,-0.0181772,999,,,,,,,209.49999999999997,4.1899999999999995,199,3.98,,,,,,,,,,,,,,,,,,,"Nick Sandlin","20517",680704
"Zack Kelly","BOS",3,3,0,4.35794,58,0,0,12,,58,253,54,30,28,7,27,,3,56,8.74453,4.23426,2.06518,1.105,0.222965,0.107964,0.1150013729929924,0.242345,1.39825,0.294446,0.715946,,,4.37606,0.0436147,0.0808238,999,,,,,,,272.70000000000005,4.701724137931035,269,4.637931034482759,,,,,,,,,,,,,,,,,,,"Zack Kelly","20349",677161
"Yohan Ramírez","PIT",3,3,0,4.18078,56,0,0,10,,56,246,51,28,26,6,24,,9,57,9.10666,3.77856,2.41009,0.939438,0.23037,0.0955858,0.13478440791368484,0.239535,1.33497,0.29981,0.701776,,,4.18387,0.0428311,0.13211,999,,,,,,,263.0000000000001,4.696428571428574,257,4.589285714285714,,,,,,,,,,,,,,,,,,,"Yohan Ramirez","19444",670990
"Pete Hansen","STL",0,1,1,4.59709,2,2,0,0,,9,38,10,5,4,1,3,,0,6,5.95257,2.86494,2.07773,1.29302,0.151342,0.0728402,0.07850217819213867,0.269769,1.40028,0.292701,0.707158,,,4.75857,0.0417343,0.0538385,999,,,,,,,31.30000000000001,3.477777777777779,35,3.888888888888889,,,,,,,,,,,,,,,,,,,"Pete Hansen","sa3020798",677337
"Gordon Graceffo","STL",3,3,0,4.21922,58,0,0,12,,58,249,59,29,27,7,18,,2,46,7.15335,2.73221,2.61815,1.06239,0.185291,0.0707717,0.1145193800330162,0.2561,1.31581,0.294177,0.701663,,,4.09127,0.0411296,0.0605019,999,,,,,,,269.70000000000005,4.65,279,4.810344827586207,,,,,,,,,,,,,,,,,,,"Gordon Graceffo","29519",700669
"James McArthur","KCR",2,2,0,4.12617,33,0,0,1,,33,143,32,16,15,4,12,,2,30,8.13303,3.13725,2.5924,0.997461,0.208793,0.0805405,0.12825290858745575,0.250246,1.33053,0.299412,0.707309,,,3.98092,0.0408186,0.020149,999,,,,,,,133.80000000000007,4.0545454545454565,135,4.090909090909091,,,,,,,,,,,,,,,,,,,"James McArthur","21527",663704
"Paul Sewald","ARI",3,3,0,4.52623,58,0,8,10,,58,245,54,32,29,9,20,,3,57,8.86759,3.04326,2.91384,1.41969,0.233711,0.080207,0.15350352972745895,0.2413,1.26131,0.285311,0.688657,,,4.38537,0.040153,-0.125937,571.8599853515625,,,,,,,303.1,5.225862068965518,298,5.137931034482759,,,,,,,,,,,,,,,,,,,"Paul Sewald","13892",623149
"Manuel Rodríguez","TBR",1,1,0,3.83048,16,0,0,1,,16,68,15,7,7,2,6,,1,15,8.28371,3.13262,2.64434,0.867546,0.217407,0.082216,0.13519075512886047,0.242484,1.27306,0.296156,0.707057,,,3.80433,0.0392588,0.0262806,999,,,,,,,67.80000000000001,4.237500000000001,67,4.1875,,,,,,,,,,,,,,,,,,,"Manuel Rodriguez","20794",655889
"Jorge López",,2,2,0,4.36562,30,0,0,0,,30,131,30,16,15,3,11,,3,25,7.61834,3.29854,2.30961,0.960155,0.194162,0.0840669,0.11009487509727478,0.254668,1.36068,0.30078,0.686789,,,4.19672,0.0390339,-0.0334723,999,,,,,,,115.1,3.8366666666666664,119,3.966666666666667,,,,,,,,,,,,,,,,,,,"Jorge Lopez","14527",605347
"Dylan Dodd","ATL",3,2,0,3.99811,46,0,0,4,,46,194,47,22,20,6,12,,1,39,7.64592,2.2688,3.37003,1.21206,0.201209,0.0597053,0.1415034979581833,0.257328,1.26624,0.297437,0.72978,,,4.03025,0.0389613,0.0947003,999,,,,,,,199.40000000000003,4.334782608695653,207,4.5,,,,,,,,,,,,,,,,,,,"Dylan Dodd","29928",689266
"John King","MIA",3,2,0,3.91013,52,0,0,7,,52,226,57,25,23,5,15,,1,33,5.76995,2.59766,2.22121,0.831528,0.147489,0.0664003,0.08108845353126526,0.272014,1.38583,0.304477,0.724275,,,3.99358,0.0375897,0.0406223,999,,,,,,,221.10000000000002,4.251923076923077,241,4.634615384615385,,,,,,,,,,,,,,,,,,,"John King","22051",667463
"Richard Lovelady","WSN",2,2,0,4.11287,52,0,0,7,,52,224,50,26,24,6,18,,4,47,8.06662,3.10713,2.59616,0.988461,0.207818,0.0800482,0.12776970863342285,0.247628,1.30754,0.296002,0.701717,,,4.05072,0.0366435,0.00623615,999,,,,,,,237,4.5576923076923075,238,4.576923076923077,,,,,,,,,,,,,,,,,,,"Richard Lovelady","19337",663992
"RJ Petit","COL",3,5,0,4.78891,55,0,0,9,,55,243,57,31,29,7,21,,4,47,7.72957,3.45643,2.23629,1.2245,0.194315,0.0868915,0.10742316395044327,0.263558,1.4294,0.306015,0.694548,,,4.5468,0.0362108,0.113629,999,,,,,,,227.7,4.14,239,4.345454545454546,,,,,,,,,,,,,,,,,,,"RJ Petit","sa3017848",696275
"Luke Little","CHC",1,1,0,3.65171,18,0,0,1,,18,78,14,8,7,2,10,,2,21,10.3828,4.99612,2.07817,0.770737,0.267391,0.128666,0.13872426748275757,0.212126,1.33397,0.284996,0.7343,,,3.86961,0.0359487,0.0271491,999,,,,,,,82.20000000000002,4.566666666666667,74,4.111111111111111,,,,,,,,,,,,,,,,,,,"Luke Little","28036",681432
