Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",149,644,517,147,78,25,1,43,111,111,115,24,158,6,5,1,,9,2,0.285224,0.179145,0.245869,0.72862,0.418309,0.588156,0.415794,1.00646,0.302932,3.85145,0.325621,-1.05884,-0.374864,129.812,53.7189,172.097,-1.4337,2.62933,53.290090680122375,-4.57066798210144,7.25241,1.9700000286102295,,,,,,,1163.1,7.806040268,1163.1,7.806040268,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",157,679,616,177,104,37,7,29,104,95,49,6,117,7,6,1,,33,10,0.287722,0.0720544,0.172461,0.417801,0.343975,0.511917,0.3618,0.855892,0.224195,6.97418,0.311669,1.69436,1.5923,107.102,26.8725,130.758,3.28666,7.02273,27.9015793800354,14.297733306884766,6.70857,2.890000104904175,,,,,,,997.7,6.35477707,997.7,6.35477707,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Cal Raleigh","SEA",159,637,550,127,63,23,0,40,88,103,78,11,171,5,4,1,,8,2,0.230408,0.122086,0.268418,0.454838,0.329694,0.493498,0.347379,0.823191,0.263089,3.26144,0.252041,-1.31604,-0.308779,93.0767,17.7629,130.372,-1.62482,4.7388,21.191935420036316,11.888797760009766,6.36451,18.6299991607666,,,,,,,862.5,5.424528301,862.5,5.424528301,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Shohei Ohtani","LAD",157,679,575,162,81,28,5,48,129,118,94,16,164,5,4,2,,26,6,0.28206,0.137747,0.241232,0.571014,0.384641,0.598789,0.407398,0.98343,0.316729,6.78446,0.311251,0.0704774,1.74706,132.239,52.0097,165.175,1.81754,0,54.267529368400574,-16.975000381469727,6.12678,1.2300000190734863,,,,,,,1222.7,7.787898089,1222.7,7.787898089,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Juan Soto","NYM",159,686,548,149,86,24,1,38,114,102,128,9,120,4,4,2,,23,5,0.272142,0.186837,0.175546,1.06432,0.410517,0.528239,0.400083,0.938757,0.256097,4.78921,0.28235,-0.570734,1.08591,129.528,48.4718,162.956,0.515179,-7.17124,51.70178294181824,-14.72123908996582,6.11869,4.489999771118164,,,,,,,1144.6,7.198742138,1144.6,7.198742138,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Gunnar Henderson","BAL",156,672,590,161,95,33,5,29,101,91,70,4,141,6,4,1,,22,5,0.273115,0.104659,0.209184,0.500323,0.354156,0.489875,0.361453,0.844032,0.21676,6.18779,0.311617,1.27532,1.18982,105.808,26.4057,134.979,2.46514,-2.1162,30.169833660125732,5.0837953090667725,5.97329,12.9399995803833,,,,,,,964.2,6.18076923,964.2,6.18076923,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Julio Rodríguez","SEA",159,686,625,169,105,30,2,31,96,101,48,5,151,9,4,1,,26,7,0.270431,0.0703345,0.219584,0.320309,0.330084,0.47674,0.344836,0.806823,0.206309,5.58278,0.308144,0.500728,1.54065,98.7569,17.7007,128.62,2.04138,6.53717,25.18122386932373,8.787170886993408,5.89109,10.65999984741211,,,,,,,912,5.735849056,912,5.735849056,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Fernando Tatis Jr.","SDP",156,672,586,158,96,30,2,30,102,90,75,4,131,6,3,1,,25,6,0.269868,0.112003,0.194949,0.574527,0.357525,0.481505,0.360777,0.83903,0.211637,5.55463,0.299114,0.518142,1.58201,105.439,26.0369,136.467,2.10015,6.7605,31.14499068260193,-0.6394953727722168,5.40856,15.170000076293945,,,,,,,952.9,6.108333333,952.9,6.108333333,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Ronald Acuña Jr.","ATL",151,651,548,157,97,26,2,31,115,84,92,4,133,7,3,2,,26,6,0.28573,0.140824,0.204131,0.68987,0.393396,0.511613,0.389184,0.905009,0.225883,5.71781,0.323976,1.1668,1.54992,117.158,40.2377,151.717,2.71672,-4.10219,42.62034773826599,-11.877188682556152,5.36139,6.599999904632568,,,,,,,1039,6.880794701,1039,6.880794701,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Francisco Lindor","NYM",146,630,558,146,91,28,1,26,94,78,55,2,115,11,5,2,,22,4,0.261141,0.0880547,0.182081,0.483602,0.336936,0.452253,0.341354,0.789189,0.191112,5.29447,0.284535,-0.439025,1.5414,88.9142,14.4749,122.725,1.10238,3.50202,18.070411682128906,9.752018928527832,4.99108,22.309999465942383,,,,,,,819.5,5.613013698,819.5,5.613013698,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Mookie Betts","LAD",151,651,567,155,97,31,3,24,95,90,73,3,77,4,5,1,,9,2,0.273918,0.111962,0.117696,0.951283,0.35791,0.467743,0.355944,0.825654,0.193825,4.45684,0.277595,-0.226291,-0.239612,99.5896,22.669,129.927,-0.465903,-3.05484,22.625195741653442,3.920161008834839,4.9319,56.20000076293945,,,,,,,876.1,5.801986754,876.1,5.801986754,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Kyle Tucker","LAD",151,651,555,149,86,28,2,33,101,99,88,6,95,3,3,2,,22,4,0.268339,0.134808,0.146649,0.919252,0.369661,0.504945,0.373508,0.874607,0.236607,5.37162,0.269713,0.0249932,1.66771,108.873,31.9522,141.959,1.6927,-0.575392,34.06701362133026,-7.550392031669617,4.92896,14.489999771118164,,,,,,,985.8,6.528476821,985.8,6.528476821,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Alejandro Kirk","TOR",125,495,435,118,84,19,0,15,52,63,50,2,60,4,5,0,,1,0,0.272153,0.10177,0.120724,0.842998,0.349516,0.422215,0.336381,0.771731,0.150062,1.73819,0.28274,-1.32341,-0.760751,67.8077,9.36691,116.868,-2.08416,5.86283,7.748766183853149,14.587827205657959,4.87539,160.4600067138672,,,,,,,585.8,4.6864,585.8,4.6864,,,,,,,,,,,,,,,,,,,"Alejandro Kirk","22581",672386
"Corbin Carroll","ARI",147,637,554,143,78,26,12,27,101,89,68,3,133,9,5,2,,34,7,0.258474,0.1068,0.209386,0.510064,0.346451,0.493714,0.358632,0.840165,0.23524,8.1275,0.291888,2.12226,2.91342,98.838,23.5716,130.275,5.03568,4.79914,27.89283514022827,-1.7258553504943848,4.84553,11.800000190734863,,,,,,,920.4,6.261224489,920.4,6.261224489,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"José Ramírez","CLE",157,679,602,165,99,34,3,29,95,96,66,20,80,5,6,0,,32,7,0.273329,0.0977005,0.117303,0.832892,0.346886,0.483432,0.347113,0.830318,0.210103,5.89085,0.271661,-0.0724456,2.31868,99.0048,18.7757,124.842,2.24624,1.5792,22.126611948013306,1.8042035102844238,4.83947,5.710000038146973,,,,,,,964.5,6.143312101,964.5,6.143312101,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Vladimir Guerrero Jr.","TOR",157,679,590,173,106,33,0,34,98,105,78,9,92,6,5,0,,5,2,0.293613,0.114411,0.135859,0.842132,0.379255,0.521201,0.382395,0.900457,0.227589,2.75678,0.298035,-0.398813,-0.963432,118.455,38.226,148.565,-1.36224,-1.26722,37.50354301929474,-13.592215299606323,4.83748,17.90999984741211,,,,,,,1050,6.687898089,1050,6.687898089,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Elly De La Cruz","CIN",156,672,598,157,95,31,6,24,96,89,66,6,173,4,3,1,,41,11,0.262182,0.0982061,0.257854,0.38086,0.33786,0.459013,0.341243,0.796873,0.196832,7.38274,0.328075,1.68633,2.6717,94.7813,15.3794,114.468,4.35803,0.927093,15.880819320678711,7.877092361450195,4.71819,8.430000305175781,,,,,,,888,5.692307692,888,5.692307692,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
