Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",149,644,517,147,78,25,1,43,111,111,115,24,158,6,5,1,,9,2,0.285284,0.179145,0.245869,0.72862,0.418357,0.588329,0.415875,1.00669,0.303045,3.85147,0.325679,-1.05884,-0.374884,129.855,53.761,172.153,-1.43372,2.62933,53.33219265937805,-4.57066798210144,7.25672,1.899999976158142,,,,,,,1163.1,7.806040268,1163.1,7.806040268,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",157,679,616,177,104,37,7,29,104,95,49,6,117,7,6,1,,33,10,0.287804,0.0720544,0.172461,0.417801,0.34405,0.512116,0.361908,0.856165,0.224312,6.97416,0.311746,1.69436,1.59246,107.161,26.9317,130.832,3.28682,7.02273,27.960943460464478,14.297733306884766,6.71464,2.990000009536743,,,,,,,997.7,6.35477707,997.7,6.35477707,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Cal Raleigh","SEA",159,637,550,127,63,23,0,41,88,103,78,11,171,5,4,1,,8,2,0.230461,0.122086,0.268418,0.454838,0.329739,0.493652,0.347454,0.823392,0.263191,3.25832,0.252088,-1.31604,-0.308802,93.1157,17.8019,130.424,-1.62485,4.7388,21.230901956558228,11.888797760009766,6.36849,17.81999969482422,,,,,,,871.9,5.483647798,871.9,5.483647798,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Shohei Ohtani","LAD",157,679,575,162,81,28,5,48,129,119,94,16,164,5,4,2,,26,6,0.282114,0.137747,0.241232,0.571014,0.384686,0.598944,0.407473,0.98363,0.31683,6.78446,0.311301,0.0704774,1.74709,132.28,52.0509,165.226,1.81756,0,54.30877482891083,-16.975000381469727,6.131,1.2599999904632568,,,,,,,1222.7,7.787898089,1222.7,7.787898089,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Juan Soto","NYM",159,686,548,149,86,24,1,38,114,102,128,9,120,4,4,2,,23,5,0.272204,0.186837,0.175546,1.06432,0.410567,0.52841,0.400162,0.938977,0.256205,4.79233,0.282403,-0.570734,1.0859,129.572,48.5154,163.01,0.515167,-7.17124,51.74536097049713,-14.72123908996582,6.12315,4.579999923706055,,,,,,,1144.6,7.198742138,1144.6,7.198742138,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Gunnar Henderson","BAL",156,672,590,161,95,33,5,29,102,89,70,4,141,6,4,1,,23,5,0.273189,0.104659,0.209134,0.50044,0.354317,0.490059,0.361635,0.844376,0.21687,6.25138,0.311798,1.29987,1.33552,105.907,26.5055,135.105,2.63538,-2.11649,30.439874410629272,5.083509206771851,6.00089,12.100000381469727,,,,,,,966.1,6.192948717,966.1,6.192948717,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Julio Rodríguez","SEA",159,686,625,169,105,30,2,32,96,101,48,5,151,9,4,1,,26,7,0.270501,0.0703345,0.219584,0.320309,0.330148,0.476916,0.34493,0.807064,0.206415,5.57953,0.308212,0.500728,1.54075,98.8094,17.7532,128.685,2.04148,6.53717,25.23382067680359,8.787170886993408,5.89647,9.529999732971191,,,,,,,921.4,5.794968553,921.4,5.794968553,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Fernando Tatis Jr.","SDP",156,672,586,158,96,30,2,30,102,90,75,4,131,6,3,1,,25,6,0.269948,0.112003,0.194949,0.574527,0.357595,0.481709,0.360881,0.839305,0.211762,5.55461,0.299188,0.518142,1.58213,105.496,26.0937,136.539,2.10027,6.7605,31.201866149902344,-0.6394953727722168,5.41438,14.220000267028809,,,,,,,952.9,6.108333333,952.9,6.108333333,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Ronald Acuña Jr.","ATL",151,651,548,157,97,26,2,31,115,84,92,4,133,7,3,2,,26,6,0.285816,0.140824,0.204131,0.68987,0.393469,0.511828,0.38929,0.905296,0.226012,5.71115,0.324061,1.1668,1.55001,117.214,40.2938,151.79,2.71681,-4.10219,42.676555156707764,-11.877188682556152,5.36714,5.809999942779541,,,,,,,1039,6.880794701,1039,6.880794701,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Francisco Lindor","NYM",146,630,558,146,91,28,1,26,94,78,55,2,115,11,5,2,,22,4,0.2612,0.0880547,0.182081,0.483602,0.336988,0.4524,0.34143,0.789388,0.191199,5.29808,0.28459,-0.439025,1.54152,88.9532,14.5139,122.777,1.10249,3.50202,18.109519004821777,9.752018928527832,4.99508,26.31999969482422,,,,,,,819.5,5.613013698,819.5,5.613013698,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Mookie Betts","LAD",151,651,567,155,97,31,3,24,95,90,73,3,77,4,5,1,,9,2,0.273981,0.111962,0.117696,0.951283,0.357965,0.46789,0.35602,0.825855,0.193909,4.45685,0.27765,-0.226291,-0.239658,99.63,22.7093,129.98,-0.46595,-3.05484,22.66552770137787,3.920161008834839,4.93603,57,,,,,,,876.1,5.801986754,876.1,5.801986754,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Kyle Tucker","LAD",151,651,555,149,86,28,2,33,101,99,88,6,95,3,3,2,,22,4,0.268407,0.134808,0.146649,0.919252,0.36972,0.505122,0.373596,0.874842,0.236715,5.37164,0.269771,0.0249932,1.66779,108.919,31.9987,142.019,1.69278,-0.575392,34.113611936569214,-7.550392031669617,4.93373,13.289999961853027,,,,,,,985.8,6.528476821,985.8,6.528476821,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"José Ramírez","CLE",157,679,602,165,99,34,3,29,95,96,66,20,80,5,6,0,,32,7,0.273395,0.0977005,0.117303,0.832892,0.346944,0.483595,0.347201,0.83054,0.2102,5.89085,0.271716,-0.0724456,2.31887,99.0529,18.8238,124.902,2.24642,1.61227,22.17485237121582,2.237273335456848,4.88872,5.71999979019165,,,,,,,964.5,6.143312101,964.5,6.143312101,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Alejandro Kirk","TOR",125,495,435,118,84,19,0,15,52,63,50,2,60,4,5,0,,1,0,0.272254,0.10177,0.120724,0.842998,0.349605,0.422432,0.336499,0.772037,0.150178,1.73826,0.282832,-1.32341,-0.760888,67.8551,9.41431,116.949,-2.0843,5.86283,7.796021223068237,14.587827205657959,4.88022,156.10000610351562,,,,,,,585.8,4.6864,585.8,4.6864,,,,,,,,,,,,,,,,,,,"Alejandro Kirk","22581",672386
"Vladimir Guerrero Jr.","TOR",157,679,590,173,106,33,0,34,98,105,78,9,92,6,5,0,,5,2,0.293685,0.114411,0.135859,0.842132,0.379318,0.521381,0.382488,0.900699,0.227697,2.7568,0.298097,-0.398813,-0.963523,118.506,38.277,148.629,-1.36234,-1.26722,37.55439341068268,-13.592215299606323,4.84268,18.06999969482422,,,,,,,1050,6.687898089,1050,6.687898089,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
